SEC            ( Area cm2   I2 cm4   I3 cm4)
YG:560x9          155.71    59154.07  59154.07
YG:560x10         172.70    65373.70  65373.70
YG:560x11         189.62    71524.61  71524.61
YG:560x12         206.49    77607.30  77607.30
YG:560x13         223.29    83622.29  83622.29
YG:560x14         240.02    89570.06  89570.06
YG:560x15         256.70    95451.14  95451.14
YG:560x16         273.31    101266.01 101266.01
YG:630x9          175.50    84679.83  84679.83
YG:630x10         194.68    93639.59  93639.59
YG:630x11         213.80    102511.65 102511.65
YG:630x12         232.86    111296.59 111296.59
YG:630x13         251.86    119994.98 119994.98
YG:630x14         270.79    128607.39 128607.39
YG:630x15         289.67    137134.39 137134.39
YG:630x16         308.47    145576.54 145576.54
SJ:125x10         48.75     722.60    150.0     
SJ:125x8          39.5      594.65    150.0     
SJ:125x80x10      39.42     201.34    130.0     
SJ:110x8          34.48     398.59    70.0      
SJ:100x8          31.28     296.73    50.0      
SJ:100x6          23.86     229.29    50.0      
SJ:90x6           21.27     165.57    50.0      
SJ:80x6           18.79     114.64    50.0      
SJ:80x5           15.82     97.30     30.0      
SJ:75x5           14.73     79.97     30.0      
SJ:70x5           13.75     64.15     30.0      
SJ:63x4           9.96      38.26     30.0      
SJ:56x4           8.78      20.82     30.0      
GZ:20a            12.3      18.5      30.0      
GZ:22a            12.6      12.3      30.0
GZ:25a            15.3      18.5      30.0      
GZ:21a            16.6      12.3      30.0
GZ:23a            17.3      18.5      30.0      
GZ:24a            18.6      12.3      30.0      
FG:40x40          15.9      56.0      12.0      
FG:30x30          15.9      56.0      12.0      
FG:20x20          15.9      56.0      12.0
US:12@12          15.9      56.0      12.0    
                                      0

MAT           (E(MPa)  fq(MPa)  fy(MPa)  rwt(T/m3)  alpha(mm/C)  )
A3¸Ö           2.06e5    235       215       7.9       1.2e-5  
16Mn¸Ö         2.06e5    345       310       7.9       1.2e-5 
15MnV¸Ö        2.06e5    390       350       7.9       1.2e-5
ÂÁ(*)          1.0e5     175       150       2.7       1.3e-5
ÓÃ»§           1.0e5     175       150       2.7       1.3e-5 
                                                       0
